prot	A, B, C, D
Prot1	116.72448589872882,0.9985007756600444,4294.683969366178,116432264.69683577
Prot2	132.7095162703905,1.1042684606470217,1115.845648066035,37866718.83532983
Prot3	463.7237301481863,1.0766935552957855,650.199757225176,20733498.80587122
Prot4	137.721621727697,1.0508114582409622,1889.1382106753897,54091088.139729135
Prot5	200.48653174999296,1.0588939809580664,3527.7969054153955,127244392.01199482
Prot6	490.69951808983524,1.1083607702449707,15124.42730074555,964108243.2831062
Prot7	306.66854384258954,1.1155911889459278,70.42962328141353,3104570.5762165477
Prot8	240.46240692387198,1.1927505651171044,613.6904925298653,54206240.47861715
Prot9	93.8089730544803,1.0776280712780961,7.315393826235244,267256.84878348914
Prot10	149.25291237781997,1.0770124304471242,657.4035460095495,26575975.815598313
