sample	Prot1-readings	conc.	Prot1-Cal.Con.	Prot1-1	Prot2-readings	conc.	Prot2-Cal.Con.	Prot2-1	Prot3-readings	conc.	Prot3-Cal.Con.	Prot3-1	Prot4-readings	conc.	Prot4-Cal.Con.	Prot4-1	Prot5-readings	conc.	Prot5-Cal.Con.	Prot5-1	Prot6-readings	conc.	Prot6-Cal.Con.	Prot6-1	Prot7-readings	conc.	Prot7-Cal.Con.	Prot7-1	Prot8-readings	conc.	Prot8-Cal.Con.	Prot8-1	Prot9-readings	conc.	Prot9-Cal.Con.	Prot9-1	Prot10-readings	conc.	Prot10-Cal.Con.	Prot10-1
Standard1	60419.0	2.2	2.200309990001942	2.200309990001942	83783.0	4.4	4.400003401625979	4.400003401625979	1725330.0	70	69.99990209138163	69.99990209138163	34209.0	1.7	1.7004268139423864	1.7004268139423864	61522.0	2.6	2.601140308869122	2.601140308869122	553364.0	18	18.001740035621463	18.001740035621463	439779.0	14	13.999929432426207	13.999929432426207	38522.0	1.4	1.400764387198992	1.400764387198992	55317.0	2.1	2.100014086190529	2.100014086190529	891109.0	29	29.00000494490646	29.00000494490646
Standard2	15157.0	0.55	0.5474334349455906	0.5474334349455906	18270.0	1.1	1.1004331358764436	1.1004331358764436	414976.0	17.5	17.50237941767889	17.50237941767889	8003.0	0.425	0.42118158029960473	0.42118158029960473	14079.0	0.65	0.6391897099373074	0.6391897099373074	118931.0	4.5	4.481568032402294	4.481568032402294	105697.0	3.5	3.501623622482705	3.501623622482705	7307.0	0.35	0.3395886666302426	0.3395886666302426	14851.0	0.525	0.524770415005235	0.524770415005235	205672.0	7.25	7.24984766513574	7.24984766513574
Standard3	4068.0	0.138	0.14351582045469127	0.14351582045469127	3979.0	0.275	0.27007332238111476	0.27007332238111476	94824.0	4.38	4.363411904696707	4.363411904696707	2129.0	0.106	0.11394356187989868	0.11394356187989868	4009.0	0.163	0.18847096337859823	0.18847096337859823	27386.0	1.13	1.1762892882928602	1.1762892882928602	22994.0	0.875	0.8625296134129532	0.8625296134129532	2308.0	0.0875	0.12117744786865386	0.12117744786865386	3594.0	0.131	0.13258338519928667	0.13258338519928667	46576.0	1.81	1.8113856350405184	1.8113856350405184
Standard4	1046.0	0.0344	0.03367843118353074	0.03367843118353074	1164.0	0.0688	0.08199160603526852	0.08199160603526852	22439.0	1.09	1.1236674282208707	1.1236674282208707	623.0	0.0266	0.029729347224175997	0.029729347224175997	958.0	0.0406	0.04100891515207308	0.04100891515207308	6246.0	0.281	0.29265945061692816	0.29265945061692816	6003.0	0.219	0.24867569768513598	0.24867569768513598	577.0	0.0219	0.026448458113106272	0.026448458113106272	773.0	0.0328	0.028667983749115746	0.028667983749115746	10481.0	0.453	0.44826242389418347	0.44826242389418347
Standard5	332.0	0.00859	0.007784767831376322	0.007784767831376322	332.0	0.0172	0.01850437563643636	0.01850437563643636	5462.0	0.273	0.28379361698572764	0.28379361698572764	220.0	0.00664	0.005492172102539598	0.005492172102539598	347.0	0.0102	0.008690563494206695	0.008690563494206695	1770.0	0.0703	0.07535572933838464	0.07535572933838464	1437.0	0.0547	0.05827043398670303	0.05827043398670303	223.0	0.00547	nan	nan	318.0	0.0082	0.01023321686234387	0.01023321686234387	2593.0	0.113	0.11750761865932001	0.11750761865932001
Standard6	152.0	0.00215	0.0012721674175691711	0.0012721674175691711	143.0	0.0043	0.0012640057117749156	0.0012640057117749156	1474.0	0.0684	0.06426966700439009	0.06426966700439009	135.0	0.00166	nan	nan	141.0	0.00254	nan	nan	455.0	0.0176	nan	nan	422.0	0.0137	0.0075295912143887095	0.0075295912143887095	126.0	0.00137	nan	nan	145.0	0.00205	0.002597361340779553	0.002597361340779553	736.0	0.0283	0.031241925195111403	0.031241925195111403
Standard7	108.0	0.000537	nan	nan	89.0	0.00107	nan	nan	491.0	0.0171	0.002244233497833504	0.002244233497833504	93.0	0.000415	nan	nan	106.0	0.000635	nan	nan	201.0	0.00439	nan	nan	158.0	0.00342	nan	nan	92.0	0.000342	nan	nan	116.0	0.000513	0.0011957006080901358	0.0011957006080901358	250.0	0.00708	0.006084562872087872	0.006084562872087872
Standard8	117.0	0	9.86394184647172e-06	9.86394184647172e-06	87.0	0	nan	nan	165.0	0	nan	nan	99.0	0	nan	nan	100.0	0	nan	nan	88.0	0	nan	nan	97.0	0	nan	nan	85.0	0	nan	nan	89.0	0	nan	nan	91.0	0	nan	nan
3001241309 1:50000	54490.0	-	1.9835630890326337	99178.15445163168	78100.0	-	4.127850399386888	206392.51996934437	230.0	-	nan	nan	32902.0	-	1.6382552484307813	81912.76242153907	47971.0	-	2.054466696459323	102723.33482296614	214168.0	-	7.63262648185201	381631.3240926005	215272.0	-	6.858864416673571	342943.22083367856	45179.0	-	1.6024598109119141	80122.9905455957	50135.0	-	1.87402708499094	93701.354249547	237782.0	-	8.30535901205615	415267.95060280745
3001241309 1:100000	5072.0	-	0.1800452477696664	18004.524776966642	7039.0	-	0.45889530985179583	45889.53098517958	164.0	-	nan	nan	3452.0	-	0.18503681104094027	18503.681104094027	4655.0	-	0.21852783950130805	21852.783950130804	22468.0	-	0.9803573942533732	98035.73942533732	21545.0	-	0.8126394145905574	81263.94145905574	4476.0	-	0.22108526641265147	22108.526641265147	5433.0	-	0.19746191480156447	19746.191480156445	23785.0	-	0.9670102931898253	96701.02931898253
