1	2	3	4	5	6	7	8	9	10	11	12	
A 	60419	62691	54490	55091	5072	5306	55020	56838	5501	5647	27748	30179
	83783	85235	78100	71130	7039	8188	82532	76793	7758	6669	55155	58805
	1725330	1725260	230	222	164	160	209	196	155	137	2075	2243
	34209	35357	32902	33848	3452	3665	34014	32494	3369	3272	25197	27211
	61522	62280	47971	48425	4655	4706	54486	53412	5444	5336	30387	33356
	553364	547070	214168	226341	22468	23841	183126	182616	18281	18017	117568	122357
	439779	455347	215272	217426	21545	22800	131430	131142	12943	13127	106072	112642
	38522	39802	45179	42987	4476	4594	37274	38836	3602	3920	25805	27672
	55317	63311	50135	52251	5433	5146	50306	49314	4997	4895	20493	19786
	891109	812333	237782	225653	23785	25055	185271	185722	18421	17890	134093	141336
B 	15157	15365	29163	28025	2834	2948	11683	11081	1258	1197	92535	20757
	18270	19084	27449	27716	2975	3036	16070	14259	1662	1730	216303	36823
	414976	405083	423	432	193	185	17334	17220	1822	1784	1251	495
	8003	7885	16744	16893	1789	1629	6863	6649	711	695	79265	17234
	14079	16032	25863	27168	2819	2728	9962	9915	1067	1054	96712	20178
	118931	109756	78447	73464	8177	7722	39923	39106	4078	3890	372406	61496
	105697	104371	75852	76087	7656	7889	41668	43739	4298	4281	285398	50584
	7307	9534	19612	22722	2090	2395	8217	8756	897	905	82085	18223
	14851	13022	25004	25107	2579	2645	11749	10260	1227	1211	87043	16972
	205672	185739	83016	84076	8744	8379	41372	39872	4272	4169	405978	69134
C 	4068	4186	7056	7296	768	786	24178	22448	2416	2407	14541	15093
	3979	5295	11506	11685	1199	1178	43365	39446	4518	4397	42570	40719
	94824	93876	12571	12151	1364	1390	391	406	191	180	342	350
	2129	2168	4379	4411	550	533	14486	13968	1569	1594	12987	14867
	4009	3976	6558	6462	727	766	20384	20329	2119	2171	15919	17122
	27386	29281	28397	29843	3053	3012	75692	76331	7734	7708	80958	80979
	22994	23910	29540	30253	3063	3021	84332	83862	8600	8690	59997	58887
	2308	2788	5398	5338	635	626	16959	16280	1777	1644	13326	13496
	3594	3552	7195	7133	849	823	24710	27364	2651	2417	12658	12819
	46576	45545	30354	30313	3191	2998	76434	81154	8293	7575	90887	89511
D 	1046	1009	186730	187372	18928	17654	40133	38199	4201	4189	1083	1119
	1164	1097	265886	291315	34701	31704	83803	77166	9564	8525	3132	2890
	22439	22598	4316	4055	570	583	733	767	210	229	185	174
	623	567	73745	80307	7963	7769	25346	26463	2539	2649	951	974
	958	1068	167236	151386	16098	15041	37375	38030	4178	4024	1344	1280
	6246	6388	571291	596822	59703	59424	177534	176772	20077	19044	5885	5521
	6003	5818	577986	586292	59533	58929	164669	164764	17051	16354	4307	4220
	577	634	91649	100789	10741	10346	31285	30854	3345	3121	1037	1010
	773	965	167575	178257	17392	17541	34657	35604	3795	3656	1002	1039
	10481	10104	629222	646086	68939	64826	195767	192629	20182	20154	6474	6034
E 	332	342	54278	51178	5501	5388	9420	8838	1072	1014	2430	2272
	332	365	68389	62377	7273	7111	14281	15439	1718	1398	5272	5283
	5462	5567	274	226	159	160	418	414	192	162	372	346
	220	208	32011	34238	3396	3618	4945	4762	595	637	2224	2083
	347	344	49055	46834	5103	5019	7771	7636	869	852	2695	2632
	1770	1802	174790	173465	16287	18942	42844	42519	4402	4491	11214	10816
	1437	1574	186742	196900	19717	19141	45598	45616	4799	4792	9209	9395
	223	272	39053	40653	4177	3802	6202	6095	670	658	2167	2071
	318	309	48441	44507	5032	4979	9182	8526	991	952	1764	1851
	2593	2730	187924	190945	19931	19447	46911	45520	5042	5149	12986	11075
F 	152	143	39238	36883	3973	3825	67215	68692	7081	6993	14912	17507
	143	150	36989	32598	4344	4295	90952	103389	11030	12062	20130	26900
	1474	1489	2350	2256	365	361	2189	2139	361	361	374593	389321
	135	104	19934	19251	2146	2131	48580	47212	5079	5530	8500	8696
	141	166	29911	31519	3050	3098	72117	73030	7426	7857	15161	17026
	455	450	96419	89606	9630	8922	224199	234587	24160	25322	129699	130659
	422	434	103962	102803	10685	10698	221402	219827	23337	24217	99144	99513
	126	142	26615	25113	2573	2935	56241	55380	5149	5350	10026	8618
	145	141	34028	36342	3797	3525	57682	54560	5790	5734	14855	15152
	736	700	99248	90045	9811	9573	252310	258146	26135	25814	199706	192476
G 	108	106	36507	38085	4011	3732	11799	11722	1419	1403	7618	7469
	89	100	67257	78892	7970	6338	18294	16309	1979	1899	10985	10668
	491	484	327	299	164	159	155	165	160	141	151225	150999
	93	89	26286	30492	2981	3061	7199	7397	828	826	4134	4333
	106	106	38360	41104	4050	4059	12512	12643	1423	1447	7265	7462
	201	202	149790	151733	16327	16042	46082	47688	5073	4976	48352	46488
	158	166	115280	128152	12928	12575	30861	32859	3379	3451	41234	42751
	92	94	28924	31015	3174	3174	6696	7240	773	888	4867	4782
	116	117	32014	34982	3262	3493	11564	11339	1300	1281	7130	7806
	250	260	151193	171077	16495	16091	45553	44586	4705	4656	82829	71828
H 	117	83	32040	32997	3431	3197	19837	19297	2027	2183	2433	2733
	87	96	37525	39511	4462	3568	50844	51348	5508	5573	2947	3417
	165	160	259	274	174	179	674	660	232	228	82460	79412
	99	84	21978	22626	2171	2199	13601	14136	1373	1482	1305	1555
	100	83	34955	36295	3493	3557	20435	20351	2153	2199	2396	2593
	88	86	110057	107332	11452	11261	111183	105933	11597	10647	15106	15322
	97	93	102868	101653	10211	9991	92419	93135	10105	9856	12002	11964
	85	78	24151	22951	2498	2495	15044	14915	1646	1684	1553	1336
	89	103	26346	27145	2835	2769	18988	18196	2127	1902	2333	2282
	91	87	108571	121570	12776	12316	110149	109366	11613	11930	17341	16920
